linkDescription,hours
"Business Hour : 11.30am to 3.00pm , 5.00pm to 8.00pm 
Rest day : Monday
Updated 24/5/2022","11.30am to 3.00pm , 5.00pm to 8.00pm"
"Business Hour : 6.30am to 2.30pm 
Rest day : Sunday 
Updated 25/5/2022",6.30am to 2.30pm
"Business Hour : 11.00am to 9.00pm 
Rest day : Monday
Updated 13/4/2022",11.00am to 9.00pm
"Business Hour : 10.30am to 4.00pm
Rest day : weekends 
Updated 3/8/2022",10.30am to 4.00pm
"Business Hour : 6.00am to 2.00pm
Rest day : Saturday
Updated 1/6/2022",6.00am to 2.00pm
"Business Hour : 7.00am to 3.00pm  
Rest day : 2nd & 16th of lunar month
Updated 13/4/2022",7.00am to 3.00pm
"Business Hour : 7.00am to 1.00pm
Rest day : Monday
Updated 9/2/2022",7.00am to 1.00pm
"Business Hour: 7.00am to 4.30pm 
Open daily 
Updated 16/4/2022",
"Business Hour: 11.00am to 9.00pm 
Rest day : Monday
Updated 21/4/2022",
"Business Hour : 7.00am to 2.00pm 
Rest day : Wednesday
Updated 14/4/2022",7.00am to 2.00pm
"Business Hour: 7.00am to 4.00pm
Rest day: Sunday 
Updated 16/4/2022",
"Business Hour : 7.15am to 11.30am 
Rest day : Monday & Tuesday 
Updated 16/4/2022",7.15am to 11.30am
"Business Hour : 6.30am to 10.30am 
Rest day : Sunday 
Updated 16/4/2022",6.30am to 10.30am
"Business Hour : 7.30am to 11.00am 
Rest day : Thursday & Friday
Updated 14/4/2022",7.30am to 11.00am
"Business Hour : 6.00pm to 10.30pm
Rest day : Friday & 2 days in a month 
Updated 17/5/2022",6.00pm to 10.30pm
"Business Hour : 7.30am to 1.00pm 
Rest day : Tuesday & Wednesday 
Updated 16/4/2022",7.30am to 1.00pm
"Business Hour: 3.00pm to 8.00pm 
Rest day : Tuesday
Updated 16/4/2022	",
"Business Hour : 7.00am to 2.00pm
Rest day : Sunday
Updated 16/4/2022",7.00am to 2.00pm
"Business Hour : 3.30pm to 11.00pm
Rest day : Sunday
Updated 14/4/2022",3.30pm to 11.00pm
"Business Hour :  7.30am to 1.30pm 
Rest day : the last Monday to Wednesday of every month 
Updated 24/5/2022",7.30am to 1.30pm
"Business Hour : 6.00am to 2.00pm 
Rest day : uncertain ( 2 to 3 days per month )
Updated 14/4/2022",6.00am to 2.00pm
"Business Hour : 11.30am to 2.00pm 
Rest day : weekend & Public Holidays
Updated 31/5/2022",11.30am to 2.00pm
"Business Hour : 11.00am to 4.00pm , 5.00pm to 8.30pm
Rest day : Sunday
Updated 26/7/2022
","11.00am to 4.00pm , 5.00pm to 8.30pm"
"Business Hour : 7.00am to 1.00pm 
Rest day : Sunday  
Updated 16/4/2022",7.00am to 1.00pm
"Business Hour : 7.30am to 11.30am 
Rest day : Monday & Tuesday (except Public Holidays)
Updated 12/4/2022
",7.30am to 11.30am
"Business Hour : 7.00am to 10.30am
Rest day : Monday
Updated 28/5/2022",7.00am to 10.30am
"Business Hour : 7.00am to 3.00pm 
Rest day : Sunday
Updated 2/3/2022",7.00am to 3.00pm
"Business Hour : 7.30am to 12.30pm 
Rest day : uncertain 
Updated 28/2/2022 


",7.30am to 12.30pm
"Business Hour : 8.00am to 2.00pm 
Rest day : Tuesday (if 1st & 15th of lunar month fall on Tuesday , next day will be their rest day)
Updated 6/5/2022

",8.00am to 2.00pm
"Business Hour : 8.00am to 4.00pm
Open daily
Updated 12/4/2022",8.00am to 4.00pm
"Business Hour : 8.00am to 3.30pm ; Public Holidays 8.00am to 11.30am 
Open daily
Updated 20/5/2022",8.00am to 3.30pm ; Public Holidays 8.00am to 11.30am
"Business Hour : 6.30am to 11.00am 
Rest day : Wednesday & Thursday
Updated 6/5/2022",6.30am to 11.00am
"Business Hour : 6.15am to 11.30am
Rest day : Monday & Tuesday 
Updated 6/5/2022",6.15am to 11.30am
"Business Hour : 11.30am to 3.00pm , 5.00pm to 9.30pm  
Rest day : Tuesday (if 1st & 15th of lunar month fall on Tuesday , next day will be their rest day) 
Updated 21/4/2022

","11.30am to 3.00pm , 5.00pm to 9.30pm"
"Business Hour: 8.00am to 4.00pm ; Sunday 8.00am to 2.00pm 
Rest day : Tuesday 
Updated 21/5/2022
 ",
"Business Hour : 7.00am to 11.00am 
Rest day : uncertain
Updated 25/4/2022",7.00am to 11.00am
"Business Hour : 9.30am to 2.30pm, 5.30pm to 9.30pm
Rest day : Wednesday 
Updated 24/5/2022","9.30am to 2.30pm, 5.30pm to 9.30pm"
"Business Hour : 6.00am to 2.00pm 
Rest day : Sunday 
Updated 13/4/2022",6.00am to 2.00pm
"Business Hour : 7.00am to 1.00pm Rest day : Thursday (including 1st & 15th of lunar month)
Updated 28/7/2022",7.00am to 1.00pm
"Business Hour : 7.00am to 2.00pm 
Rest day : uncertain , rest 4 days continuously in a month 
Updated 21/4/2022",7.00am to 2.00pm
"Business Hour : 7.00am to 8.30pm Open daily
Updated 28/4/2022",7.00am to 8.30pm
"Business Hour : 9.30am to 2.30pm , 5.30pm to 9.30pm
Open daily
Updated 20/1/2022","9.30am to 2.30pm , 5.30pm to 9.30pm"
"Business Hour: 7.30am to 8.00pm 
Rest day: Monday
Updated 1/1/2022
",
"Business Hour : 5.00pm to 10.30pm
Rest day : uncertain (twice a month)
Updated 28/2/2022
",5.00pm to 10.30pm
"Restaurant Hour : 11.30am to 4.30pm ; Saturday 12.00pm to 3.00pm
Rest day : Sunday (regardless 1st & 15th of lunar month)
Updated 1/4/2022


",
"Business Hours : 6.00am to 11.00am
Rest day : Monday 
Updated 17/4/2022",
"Business Hour : 6.30am to 10.30am 
Rest day : uncertain 
Updated 17/4/2022",6.30am to 10.30am
"Business Hour: 5.30am to 10.30am 
Rest day : uncertain
Updated 17/4/2022",
"Business Hour: 6.00am to 10.30am  
Rest day: alternate Thursday 
Updated 15/5/2022",
"Business Hour : 7.00am to 2.30pm
Rest day : Monday
Updated 16/4/2022",7.00am to 2.30pm
"Business Hour : 7.00am to 3.00pm 
Rest day : Sunday 
Updated 24/5/2022",7.00am to 3.00pm
"Business Hour : 7.30am to 4.00pm 
Rest day : 2nd, 3rd, 16th & 17th of lunar month 
Updated 21/1/2022",7.30am to 4.00pm
"Business Hour : 10.00am to 3.00pm , 5.30pm to 9.30pm ; Wednesday 10.00am to 3.00pm ; Sunday 5.30pm to 9.30pm
Open daily
Updated 21/4/2022
","10.00am to 3.00pm , 5.30pm to 9.30pm ; Wednesday 10.00am to 3.00pm ; Sunday 5.30pm to 9.30pm"
"Business Hour : 6.00am to 1.30pm 
Rest day : Tuesday (if 1st & 15th lunar month fall on Tuesday, Thursday will be their rest day) 
Updated 21/4/2022",6.00am to 1.30pm
"Business Hour : 6.30am to 12.30pm 
Rest day : uncertain (3 days in a month)
Updated 21/4/2022	",6.30am to 12.30pm
"Business Hour : 6.30am to 1.30pm 
Rest day : uncertain (3 days in a month)
Updated 21/4/2022",6.30am to 1.30pm
"Business Hour : 7.00am to 11.30am 
Rest day : uncertain
Updated 21/4/2022",7.00am to 11.30am
"Business Hour : 10.00am to 2.45pm , 5.00pm to 9.45pm
Open daily 
Updated 14/4/2022","10.00am to 2.45pm , 5.00pm to 9.45pm"
"Business Hour : 7.00am to 3.00pm 
Rest day : uncertain (twice in a month) 
Updated 17/4/2022",7.00am to 3.00pm
"Business Hour : 10.30am to 9.00pm
Rest day : Tuesday
Updated 4/7/2022",10.30am to 9.00pm
"Business Hour : 10.30am to 2.00pm , 5.30pm to 9.00pm ; Sunday 8.30am to 2.00pm , 5.30pm to 9.00pm 
Rest day : Monday 
Updated 25/5/2022

","10.30am to 2.00pm , 5.30pm to 9.00pm ; Sunday 8.30am to 2.00pm , 5.30pm to 9.00pm"
"Business Hour : 6.30am to 11.30am 
Rest day : Tuesday
Updated 29/3/2022",6.30am to 11.30am
"Business Hour : 10.30am to 3.30pm , 5.00pm to 9.00pm
Open daily
Updated 22/8/2022","10.30am to 3.30pm , 5.00pm to 9.00pm"
"Business Hour : 7.00am to 2.30pm
Rest day : weekends
Updated 18/5/2022
",7.00am to 2.30pm
"Business Hour : 7.30am to 2.00pm 
Open daily 
Updated 13/4/2022",7.30am to 2.00pm
"Business Hour: 8.00am to 1.00pm 
Rest day: uncertain (4 days continuously in a month)
Updated 20/4/2022",
"Business Hour : 7.00am to 4.00pm
Rest day : uncertain (4 days in a month)
Updated 21/4/2022",7.00am to 4.00pm
"Business Hour : 7.00am to 2.30pm , 6.00pm to 9.30pm
Rest day : Sunday 
Updated 21/4/2022","7.00am to 2.30pm , 6.00pm to 9.30pm"
"Business Hour : 5.30pm to 8.00pm 
Rest day : Friday 
Updated 21/4/2022

",5.30pm to 8.00pm
"Business Hour : 6.30am to 1.00pm
Rest day : Wednesday
Updated 4/7/2022",6.30am to 1.00pm
"Business Hour :8.00am to 4.00pm 
Rest day: Wednesday
Updated 21/4/2022",
"Business Hour : 8.10am to 3.00pm , 5.30pm to 8.30pm
Rest day : Monday ( if 1st & 15th of lunar month fall on Monday , next day will their rest day)
Updated 21/4/2022


","8.10am to 3.00pm , 5.30pm to 8.30pm"
"Business Hour : 10.00am to 2.30pm , 5.00pm to 9.00pm ; 1st & 15th of lunar month 8.00am to 2.30pm , 5.00pm to 9.00pm
Rest day : uncertain (once  a month)
Updated 21/4/2022","10.00am to 2.30pm , 5.00pm to 9.00pm ; 1st & 15th of lunar month 8.00am to 2.30pm , 5.00pm to 9.00pm"
"Business Hour : 7.00am to  2.00pm 
Rest day : Sunday 
Updated 21/4/2022",7.00am to  2.00pm
"Business Hour : 10.30am to 2.00pm , 5.00pm to 9.00pm 
Rest day : Monday 
Updated 5/7/2022

","10.30am to 2.00pm , 5.00pm to 9.00pm"
"Business Hour ：7.00am to 2.30pm 
Rest day: Sunday
Updated 23/5/2022",
"Business Hour :  10.00am to 2.00pm , 4.00pm to 8.30pm
Rest day : Monday
Updated 21/6/2022","10.00am to 2.00pm , 4.00pm to 8.30pm"
"Restaurant Hour : 8.30am to 6.30pm 
Rest day : Sunday 
Updated 25/5/2022",
"Business Hour : 7.00am to 2.30pm 
Rest day : Sunday 
Updated 23/5/2022",7.00am to 2.30pm
"Business Hour : 11.00am to 2.00pm , 5.00pm to 8.30pm Rest day : Friday 
Updated 23/5/2022

","11.00am to 2.00pm , 5.00pm to 8.30pm"
"Business Hour : 10.30am to 2.30pm 
Rest day : weekends
Updated 23/5/2022",10.30am to 2.30pm
"Business Hour: 6.00am to 10.00am 
Rest day : Monday
Updated 23/5/2022",
"Business Hour : 7.30am to 11.00am
Rest day : Sunday & 1st and 15th of lunar month 
Updated 21/4/2022",7.30am to 11.00am
"Business Hour : 10.00am to 8.00pm 
Rest day : Wednesday (if 1st & 15th of lunar month fall on Wednesday, next day will be their rest day) 
Updated 19/4/2022",10.00am to 8.00pm
"Business Hour : 9.30am to 9.00pm 
Open daily
Updated 4/9/2022",9.30am to 9.00pm
"Business Hour : 7.00am to 2.00pm  
Rest day : alternate Friday 
Updated 1/4/2022",7.00am to 2.00pm
"Business Hour :  11.00am to 9.30pm
Rest day : Tuesday 
Updated 9/3/2022",11.00am to 9.30pm
"Business Hour : 6.30am to 11.30am
Rest day : Monday (if 1st & 15th of lunar month fall on Monday, next day will be their rest day)
Updated 13/4/2022",6.30am to 11.30am
"Business Hour : 11.00am to 2.30pm , 5.00pm to 8.30pm 
Rest day : uncertain  (1-3 days in a month) 
Updated 17/4/2022","11.00am to 2.30pm , 5.00pm to 8.30pm"
"Restaurant Hour : 10.30am to 3.00pm, 4.00pm to 9.30pm
Rest day : Tuesday 
Updated 9/8/2022

",
"Business Hour : 6.00am to 11.30am 
Open daily 
Updated 25/4/2022",6.00am to 11.30am
"Business Hour : 11.30am to to 9.00pm 
Rest day : Thursday (if 1st & 15th of lunar month fall on Thursday , Wednesday will be their rest day )
Updated 4/3/2022


",11.30am to to 9.00pm
"Business Hour : 7.30am to 11.30am
Rest day : Wednesday
Updated 21/4/2022",7.30am to 11.30am
"Business Hour : 7.30am to 2.30pm 
Rest day : Sunday 
Updated 31/3/2022",7.30am to 2.30pm
"Business Hour : 7.30am to 2.00pm 
Rest day : Monday 
Updated 12/1/2022",7.30am to 2.00pm
"Business Hour : 11.00am to 2.30pm , 5.30pm to 9.30pm 
Rest day : uncertain
Updated 7/5/2022

","11.00am to 2.30pm , 5.30pm to 9.30pm"
"Business Hour: 10.00am to 8.00pm  
Rest day : Monday
Updated 16/4/2022",
"Business Hour ：7.15am to 3.00pm 
Rest day : Weekends   Updated 13/4/2022
",
"Business Hour : 6.30am to 1.00pm 
Rest day : Saturday
Updated 9/4/2022",6.30am to 1.00pm
"Business Hour : 10.00am to 10.00pm
Open daily
Updated 4/5/2022",10.00am to 10.00pm
"Business Hour : 7.30am to 1.00pm 
Rest day : Sunday  
Updated 16/4/2022",7.30am to 1.00pm
"Business Hour : 6.00am to 12.00pm
Rest day :  Monday  
Updated 13/4/2022",6.00am to 12.00pm
"Business Hour : 7.00am to 2.00pm
Rest day : Sunday
Updated 4/5/2022	",7.00am to 2.00pm
"Business Hour : 11.30am to 4.00pm , 5.00pm to 9.00pm
Rest day : Tuesday  Updated 9/4/2022","11.30am to 4.00pm , 5.00pm to 9.00pm"
"Business Hour : 7.00am to 2.00pm
Rest day : Wednesday
Updated 20/2/2022",7.00am to 2.00pm
"Business Hour : 9.00am to 2.30pm , 5.00pm to 9.30pm ; 1st & 15th of lunar month 8.30am to 2.30pm , 5.00pm to 9.30pm
Open daily 
Updated 18/5/2022","9.00am to 2.30pm , 5.00pm to 9.30pm ; 1st & 15th of lunar month 8.30am to 2.30pm , 5.00pm to 9.30pm"
"Restaurant Hour : 10.30am to 7.30pm 
Rest day : Sunday
Updated 18/5/2022",
"Business Hour : 4.00pm to 10.00pm
Rest day : Monday
Updated 1/4/2022",4.00pm to 10.00pm
"Business Hour : 7.00am to 9.45pm
Open daily
Updated 9/4/2022

",7.00am to 9.45pm
"Business Hour : 7.00am to 9.00pm
Open daily 
Updated 9/4/2022",7.00am to 9.00pm
"Business Hour: 8.00am to 9.15pm 
Open daily
Updated 30/4/2022",
"Business Hour: 11.00am to 10.30pm
Open daily
Updated 28/6/2022",
"Business Hour: 11.00am to 3.00pm , 5.00pm to 9.00pm Open daily 
Updated 23/4/2022",
"Business Hour : 7.30am to 9.30pm  
Open daily 
Updated 6/4/2022",7.30am to 9.30pm
"Business Hour : 10.30am to 2.30 , 5.30pm to 8.30pm
Rest day : Monday 
Updated 24/5/2022
","10.30am to 2.30 , 5.30pm to 8.30pm"
"Business Hour : 8.00am to 8.00pm 
Rest day : Thursday
Updated 10/4/2022",8.00am to 8.00pm
"Business Hour : 11.30am to 2.30pm 
Rest day : weekends   
Updated 11/2/2022",11.30am to 2.30pm
"Business Hour : 8.00am to 10.00pm
Rest day : Friday (including 1st & 15th of lunar month)
Updated 12/5/2022",8.00am to 10.00pm
"Business Hour : 11.30am 7.30pm 
Rest day : Sunday 
Updated 23/5/2022",11.30am 7.30pm
"Business Hour : 11.00am to 7.00pm
Rest day : Friday ( if 1st & 15th of lunar month fall on Friday, next day will be their rest day )
Updated 16/4/2022",11.00am to 7.00pm
"Business Hour : 6.30am to 10.30am 
Rest day : Monday  
Updated 22/5/2022",6.30am to 10.30am
"Business Hour : 10.30am to 2.45pm , 5.30pm to 9.30pm
Rest day: Tuesday
Updated 10/4/2022

","10.30am to 2.45pm , 5.30pm to 9.30pm"
"Business Hour : 11.00am to 9.00pm
Open daily
Updated 22/4/2022",11.00am to 9.00pm
"Business Hour : 8.00am to 1.00pm 
Rest day : Tuesday
Updated 9/4/2022

",8.00am to 1.00pm
"Business Hour : 11.00am to 8.00pm 
Rest day : Sunday (if 1st & 15th of lunar month fall on Sunday , next day will be rest day) 
Updated 18/5/2022",11.00am to 8.00pm
"Business Hour : 11.00am to 9.00pm  
Open daily
Updated 23/4/2022",11.00am to 9.00pm
"Business Hour : 11.00am to 2.45pm, 6.00pm to 9.45pm 
Open daily
Updated 6/9/2022","11.00am to 2.45pm, 6.00pm to 9.45pm"
"Business Hour : 6.00am to 11.00am 
Rest day : Monday & Thursday
Updated 9/4/2022

 ",6.00am to 11.00am
"Business Hour : 6.00am to 1.30pm
Rest day : Saturday
Updated 4/5/2022",6.00am to 1.30pm
"Business Hour : 9.30am to 5.00pm
Rest day : Wednesday 
Updated 17/2/2022",9.30am to 5.00pm
"Business Hour : 7.30am to 6.30pm 
Rest day : Sunday
Updated 15/7/2022	",7.30am to 6.30pm
"Business Hour : 11.00am to 9.30pm 
Rest day : Monday 
Updated 29/3/2022
",11.00am to 9.30pm
"Business Hour : 7.00am to 3.00pm
Rest day : uncertain  
Updated 21/7/2022",7.00am to 3.00pm
"Business Hour :  10.30am to 2.45pm , 5.30pm to 9.45pm
Open daily 
Updated 19/5/2022","10.30am to 2.45pm , 5.30pm to 9.45pm"
"Restaurant Hour : 11.30am to 3.00pm 
Rest day : weekends & Public Holidays
Updated 24/5/2022",
"Business Hour : 10.00am to 3.30pm , 5.00pm to 9.30pm 
Rest day : Tuesday
Updated 18/5/2022
","10.00am to 3.30pm , 5.00pm to 9.30pm"
"Business Hour : 9.00am to 3.00pm , 6.00pm to 9.00pm 
Rest day : Wednesday
Updated 10/5/2022","9.00am to 3.00pm , 6.00pm to 9.00pm"
"Business Hour : 9.00am to 6.00pm Open daily 
Updated 13/4/2022",9.00am to 6.00pm
"Business Hour : 6.30am to 10.00am
Open daily
Updated 13/4/2022",6.30am to 10.00am
"Business Hour : 7.00am to 1.30pm  
Rest day : Wednesday  
Updated 31/5/2022",7.00am to 1.30pm
"Business Hour : 12.00pm to 9.00pm
Rest day : Monday
Updated 9/4/2022",12.00pm to 9.00pm
"Business Hour : 8.00am to 7.30pm
Rest day : alternate Wednesday 
Updated 21/5/2022",8.00am to 7.30pm
"Business Hour: 6.30am to 10.00am 
Rest day : Monday to Thursday
updated 18/5/2022

",
"Business Hour : 6.00am to 11.30am 
Rest day : Monday , 2nd & 16th of lunar month 
Updated 18/5/2022",6.00am to 11.30am
"Business Hour ：4.00pm to 8.30pm 
Rest day : Sunday
Updated 31/3/2022",
"Business Hour : 7.00am to 7.00pm ; Vegetarian day 6.00am to 7.00pm
Rest day : Sunday 
Updated 4/2/2022",7.00am to 7.00pm ; Vegetarian day 6.00am to 7.00pm
"Business Hour: 10.00am to 9.15pm  
Open daily
Updated 18/4/2022	",
"Business Hour : 11.00am to 8.00pm ; Friday 11.00am to 3.00pm  
Rest day : Saturday
Updated 20/5/2022",11.00am to 8.00pm ; Friday 11.00am to 3.00pm
"Business Hour : 7.00am to 2.30pm 
Rest day : alternate Friday 
Updated 21/5/2022",7.00am to 2.30pm
"Business Hour : 7.00am to 7.30pm 
Rest day : Monday
Updated 13/4/2022",7.00am to 7.30pm
"Business Hour : 6.30am to 2.00pm
Open daily 
Updated 11/2/2022",6.30am to 2.00pm
"Business Hour : 7.30am to 10.30pm 
Open daily
Updated 16/4/2022",7.30am to 10.30pm
"Business Hour: 10.00am to 10.00pm 
Open daily
Updated 13/4/2022",
"Business Hour : 8.00am to 9.00pm
Open daily
Updated 24/4/2022",8.00am to 9.00pm
"Business Hour : 7.00am to 3.00pm ; Friday to Sunday 7.00am to 3.00pm , 5.00pm to 8.00pm 
Rest day : Monday 
Updated 11/5/2022



","7.00am to 3.00pm ; Friday to Sunday 7.00am to 3.00pm , 5.00pm to 8.00pm"
"Business Hour : 6.30am to 2.30pm 
Rest day : Sunday  
Updated 4/7/2022",6.30am to 2.30pm
"Business Hour : 7.00am to 2.00pm 
Rest day : alternate Tuesday 
Updated 16/5/2022	",7.00am to 2.00pm
"Business Hour : 7.00am to 2.00pm 
Rest day : Sunday
Updated 4/7/2022",7.00am to 2.00pm
"Business Hour : 7.00am to 2.30pm 
Rest day : Sunday
Updated 4/7/2022	",7.00am to 2.30pm
"Business Hour : 7.30am to 2.30pm 
Rest day : Sunday
Updated 4/7/2022",7.30am to 2.30pm
"Business Hour: 10.00am to 2.45pm , 5.00pm to 9.00pm  Rest day : 2nd & 16th of lunar month
Updated 15/4/2022",
"Business Hour : 9.00am to 3.00pm , 5.00pm to 9.00pm ; 1st & 15th of lunar month 9.00am to 9.00pm 
Open daily
Updated 30/3/2022


","9.00am to 3.00pm , 5.00pm to 9.00pm ; 1st & 15th of lunar month 9.00am to 9.00pm"
"Business Hour : 9.30am to 5.00pm
Rest day : Sunday & Sarawak Public Holidays
Updated 18/8/2022",9.30am to 5.00pm
"Business Hour : 6.45am to 3.00pm 
Rest day : twice a month (uncertain )
Updated 4/5/2022",6.45am to 3.00pm
"Business Hour : 10.00am to 7.00pm ; weekends 10.00am to 8.00pm 
Open daily
Updated 30/4/2022

",10.00am to 7.00pm ; weekends 10.00am to 8.00pm
"Business Hour : 8.00am to 2.00pm 
Rest day : Weekends & Public Holidays (regardless 1st & 15th of lunar month) 
Updated 14/4/2022",8.00am to 2.00pm
"Business Hour : 9.30am to 3.00pm , 5.00pm to 9.00pm ; Vegetarian day 7.00am to 3.00pm , 5.00pm to 9.00pm
Rest day : Wednesday (if vegetarian days falls on Wednesday , next day will be their rest day)
Updated 21/5/2022
 
 ","9.30am to 3.00pm , 5.00pm to 9.00pm ; Vegetarian day 7.00am to 3.00pm , 5.00pm to 9.00pm"
"Business Hour : 6.30am to 9.30pm  
Open daily
Updated 9/7/2022",6.30am to 9.30pm
"Business Hour : 10.00am to 9.30pm 
Open daily
Updated 29/6/2022",10.00am to 9.30pm
"Business Hour : 8.30am to 7.30pm
Rest day : alternate Monday 
Updated 28/5/2022",8.30am to 7.30pm
"Business Hour : 6.30am to 2.30pm
Rest day: weekends & Public Holidays
Updated 22/5/2022",6.30am to 2.30pm
"Business Hour : 7.00am to 7.00pm
Open daily 
Updated 12/4/2022",7.00am to 7.00pm
"Business Hour : 7.30am to 7.30pm 
Open daily 
Updated 4/9/2022",7.30am to 7.30pm
"Business Hour : 7.30am to 5.00pm 
Rest day : Thursday Updated 29/4/2022",7.30am to 5.00pm
"Business Hour : 11.00am to 8.00pm
Rest day : Tuesday 
Updated 22/4/2022",11.00am to 8.00pm
Business Hour : 7.00am to 2.00pm Rest day : 2nd & 16th of lunar month Updated 17/5/2022,7.00am to 2.00pm
"Business Hour : 10.00am to 3.00pm , 5.00pm to 9.00pm 
Rest day : Wednesday (if 1st & 15th of lunar month fall on Wednesday , 2nd & 16th of lunar month will be their rest day )
Updated 19/5/2022","10.00am to 3.00pm , 5.00pm to 9.00pm"
"Restaurant Hour : 9.30am to 6.30pm 
Rest day : Thursday & public Holidays 
Updated 16/4/2022
",
"Business Hour : 11.00am to 3.00pm , 5.00pm to 9.00pm
Rest day : Wednesday
Updated 15/3/2022
","11.00am to 3.00pm , 5.00pm to 9.00pm"
"Business Hour : 6.00am to 9.30am o
Rest day : 2nd  & 16th of lunar month (if 1st & 15th of lunar month fall on Friday or Saturday , Monday & Tuesday will be their rest day)
Updated 12/5/2022",6.00am to 9.30am o
"Business Hour: 10.00am to 10.00pm
Rest day : Tuesday
Updated 16/5/2022	",
"Business Hour : 7.30am to 1.00pm
Rest day : Tuesday
Updated 23/5/2022",7.30am to 1.00pm
"Business Hour : 7.00am to 3.00pm 
Rest day : Wednesday Updated 5/4/2022",7.00am to 3.00pm
"Business Hour : 7.30am to 1.00pm 
Rest day : Tuesday
Updated 8/5/2022",7.30am to 1.00pm
"Business Hour : 7.00am to 2.00pm 
Rest day : Sunday
Updated 23/5/2022",7.00am to 2.00pm
"Business Hour : 8.00am to 3.00pm 
Rest day : Sunday 
Updated 23/5/2022",8.00am to 3.00pm
"Business Hour: 3.30pm to 10.30pm 
Rest day : uncertain 
Updated 23/5/2022",
"Business Hour : 7.00am to 3.30pm
Rest day : Thursday
Updated 21/2/2022",7.00am to 3.30pm
"Business Hour : 7.00am to 2.00pm
Rest day : Monday (including 1st & 15th of lunar month)
Updated 30/7/2022
",7.00am to 2.00pm
"Business Hour : 8.00am to 3.00pm 
Rest day : weekends
Updated 4/5/2022",8.00am to 3.00pm
"Business Hour : 10.00am to 2.15pm , 5.00pm to 7.30pm ; 1st & 15th of lunar month 9.00am to 2.15pm , 5.00pm to 7.30pm 
Rest day : Sunday
Updated 4/5/2022","10.00am to 2.15pm , 5.00pm to 7.30pm ; 1st & 15th of lunar month 9.00am to 2.15pm , 5.00pm to 7.30pm"
"Business Hour : 11.30am to 3.30pm , 5.00pm to 9.00pm Rest day : Monday 
Updated 10/4/2022	","11.30am to 3.30pm , 5.00pm to 9.00pm"
