linkDescription,hours
"Business Hour : 8.00am to 3.00pm 
Rest day : Sunday (if 1st & 15th of lunar month fall on Sunday , next day will be their rest day)
Updated 20/4/2022",8.00am to 3.00pm
"Business Hour : 4.00am to 2.00pm 
Open daily
Updated 3/4/2022

",4.00am to 2.00pm
"Business Hour : 9.00am to 7.30pm 
Open daily
Updated 7/5/2022",9.00am to 7.30pm
"Business Hour : 11.00am to 9.00pm 
Rest day : Wednesday 
Updated 20/4/2022	",11.00am to 9.00pm
"Business Hour : 10.00am to 2.30pm , 5.00pm to 9.00pm Rest day : Thursday 
Updated 13/4/2022


","10.00am to 2.30pm , 5.00pm to 9.00pm"
"Business Hour : 6.00am to 2.00pm 
Rest day : Friday ( If Public Holidays falls on Friday, Tuesday will be their rest day ) 
Updated 3/4/2022",6.00am to 2.00pm
"Business Hour : 11.30am to 3.00pm , 5.30pm to 9.00pm ; 1st & 15th of lunar month 10.30am to 3.00pm , 5.30pm to 9.30pm 
Rest day : Tuesday (if 1st & 15th of lunar month fall on Tuesday, next day will be their rest day)
Updated 6/4/2022","11.30am to 3.00pm , 5.30pm to 9.00pm ; 1st & 15th of lunar month 10.30am to 3.00pm , 5.30pm to 9.30pm"
"Business Hour : 9.30am to 9.30pm
Open daily
Updated 28/4/2022",9.30am to 9.30pm
"Business Hour : 7.00am to 1.00pm 
Rest day : Monday 
Updated 13/4/2022
",7.00am to 1.00pm
"Business Hour : 7.30am to 2.00pm
Rest day : Monday (if 1st & 15th of lunar month fall on Monday , Wednesday will be their rest day ) Updated 13/4/2022",7.30am to 2.00pm
"Business Hour : 11.00am to 3.00pm , 6.00pm to 10.00pm
Open daily
Updated 30/4/2022","11.00am to 3.00pm , 6.00pm to 10.00pm"
"Business Hour : 11.00am to 3.00pm 
Rest day : Sunday 
Updated 12/1/2022",11.00am to 3.00pm
"Business Hour : 7.00am to 11.00am 
Rest day : weekends , 2nd & 16th of lunar month 
Updated 13/4/2022

",7.00am to 11.00am
"Business Hour : 11.30am to 10.00pm
Open daily
Updated 30/4/2022",11.30am to 10.00pm
"Business Hour : 11.00am to 3.00pm , 6.00pm to 10.00pm
Rest day : Monday (if Public Holidays , 1st & 15th of lunar month fall on Monday , next day will be their rest day)
Updated 20/5/2022

","11.00am to 3.00pm , 6.00pm to 10.00pm"
"Business Hour : 8.00am to 2.30pm
Rest day : Wednesday
Updated 7/8/2022
",8.00am to 2.30pm
"Business Hour : 7.00am to 9.00pm 
Open daily
Updated 29/6/2022",7.00am to 9.00pm
"Business Hour : 9.00am to 8.00pm
Rest day : Monday
Updated 2/3/2022
",9.00am to 8.00pm
"Business Hour : 6.30am to 2.00pm , 5.30pm to 8.00pm ; Wednesday 6.30am to 2.30pm 
Rest day : uncertain
Updated 19/5/2022
","6.30am to 2.00pm , 5.30pm to 8.00pm ; Wednesday 6.30am to 2.30pm"
"Business Hour : 7.30am to 3.00pm 
Rest day : Sunday 
Updated 13/4/2022",7.30am to 3.00pm
"Business Hour : 7.00am to 12.00pm , 6.30pm to 9.00pm
Rest day : uncertain
Updated 21/4/2022	","7.00am to 12.00pm , 6.30pm to 9.00pm"
"Business Hour : 7.00am to 2.00pm 
Rest day : Sunday
Updated 21/5/2022",7.00am to 2.00pm
"Business Hour : 11.30am to 3.00pm, 6.00pm to 9.00pm
Rest day : Monday 
Updated 18/7/2022","11.30am to 3.00pm, 6.00pm to 9.00pm"
"Business Hour : 6.30am to 1.00pm 
Rest day : uncertain (2 days in a month)
Updated 21/4/2022",6.30am to 1.00pm
